ลำดับ,รหัสการประเมิน,ผู้ประเมิน / บทบาท,วันที่บันทึก,🎨 UX/UI Design (เต็ม 10),👤 บัญชีเดียว One Account (เต็ม 10),📋 Order & Live Queue (เต็ม 10),🏪 Merchant CRM (เต็ม 10),🛡️ Security & PDPA (เต็ม 10),คะแนนเฉลี่ยรวม (เต็ม 10.0),ข้อเสนอแนะเกี่ยวกับสถาปัตยกรรมระบบ
16,eval_kku_014,"นักศึกษาชั้นปีที่ 4 (คณะแพทยศาสตร์)",2026-09-15,10,10,9.5,10,10,9.90,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
17,eval_kku_015,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะทันตแพทยศาสตร์)",2026-09-16,10,9,9.5,9,10,9.50,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
18,eval_kku_016,"นักศึกษาชั้นปีที่ 1 (คณะสถาปัตยกรรมศาสตร์)",2026-09-01,9,10,10,9.5,10,9.70,"ระบบจัดการ Role ชัดเจนมาก ทั้ง Customer, Merchant และ Staff Supervisor แยกความปลอดภัยชัดเจน"
19,eval_kku_017,"นักศึกษาชั้นปีที่ 1 (คณะวิศวกรรมศาสตร์)",2026-09-02,10,9.5,9.5,9,10,9.60,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
20,eval_kku_018,"นักศึกษาชั้นปีที่ 3 (คณะเทคโนโลยี)",2026-09-03,10,10,9.5,10,10,9.90,"การออกแบบสถาปัตยกรรมระบบ Dual-payment และ Role-Based Access Control ทำได้ตามมาตรฐานวิศวกรรมซอฟต์แวร์ที่ดี"
21,eval_kku_019,"อาจารย์ / บุคลากร (คณะศึกษาศาสตร์)",2026-09-04,9.5,9,10,9.5,9.5,9.50,"การออกแบบสถาปัตยกรรมระบบ Dual-payment และ Role-Based Access Control ทำได้ตามมาตรฐานวิศวกรรมซอฟต์แวร์ที่ดี"
22,eval_kku_02,"นักศึกษาชั้นปีที่ 3 (วิทยาลัยการคอมพิวเตอร์)",2026-09-11,9,9,9.5,9.5,9.5,9.30,"ชอบระบบบัญชีเดียวที่มีสิทธิ์แยกชัดเจน และมีระบบแจ้งเตือนเสียงตอนอาหารเสร็จ สะดวกมาก"
23,eval_kku_020,"นักศึกษาชั้นปีที่ 2 (คณะเกษตรศาสตร์)",2026-09-05,9,9.5,10,9.5,10,9.60,"ฐานข้อมูลตอบสนองเร็วแบบ Real-time สถานะออเดอร์จากครัวส่งตรงถึงมือถือลูกค้าทันที"
24,eval_kku_021,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะวิศวกรรมศาสตร์)",2026-09-06,10,9,10,10,10,9.80,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
25,eval_kku_022,"นักศึกษาชั้นปีที่ 1 (วิทยาลัยการคอมพิวเตอร์)",2026-09-07,9.5,10,9.5,10,9.5,9.70,"ความปลอดภัยระบบดีมาก มีการตรวจสอบการแพ้อาหารก่อนสั่ง และรองรับ Dynamic QR Code จ่ายเงินสะดวก"
26,eval_kku_023,"นักศึกษาชั้นปีที่ 3 (วิทยาลัยการคอมพิวเตอร์)",2026-09-08,9.5,9.5,10,9,10,9.60,"ชอบระบบบัญชีเดียวที่มีสิทธิ์แยกชัดเจน และมีระบบแจ้งเตือนเสียงตอนอาหารเสร็จ สะดวกมาก"
27,eval_kku_024,"นักศึกษาชั้นปีที่ 3 (วิทยาลัยการคอมพิวเตอร์)",2026-09-09,10,10,10,9.5,10,9.90,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
28,eval_kku_025,"นักศึกษาชั้นปีที่ 4 (คณะบริหารธุรกิจและการบัญชี)",2026-09-10,10,10,10,10,10,10.00,"การออกแบบสถาปัตยกรรมระบบ Dual-payment และ Role-Based Access Control ทำได้ตามมาตรฐานวิศวกรรมซอฟต์แวร์ที่ดี"
29,eval_kku_026,"อาจารย์ / บุคลากร (คณะศึกษาศาสตร์)",2026-09-11,10,10,10,10,9.5,9.90,"การออกแบบสถาปัตยกรรมระบบ Dual-payment และ Role-Based Access Control ทำได้ตามมาตรฐานวิศวกรรมซอฟต์แวร์ที่ดี"
30,eval_kku_027,"นักศึกษาชั้นปีที่ 4 (คณะเกษตรศาสตร์)",2026-09-12,10,10,9,10,10,9.80,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
31,eval_kku_028,"อาจารย์ / บุคลากร (คณะวิทยาศาสตร์)",2026-09-13,10,9,10,9.5,9.5,9.60,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
32,eval_kku_029,"นักศึกษาชั้นปีที่ 4 (คณะวิทยาศาสตร์)",2026-09-14,10,9.5,10,10,10,9.90,"การออกแบบสถาปัตยกรรมระบบ Dual-payment และ Role-Based Access Control ทำได้ตามมาตรฐานวิศวกรรมซอฟต์แวร์ที่ดี"
33,eval_kku_03,"นักศึกษาชั้นปีที่ 4 (AI มข.)",2026-09-12,9.5,10,10,9,10,9.70,"ความปลอดภัยระบบดีมาก มีการตรวจสอบการแพ้อาหารก่อนสั่ง และรองรับ Dynamic QR Code จ่ายเงินสะดวก"
34,eval_kku_030,"นักศึกษาชั้นปีที่ 3 (คณะมนุษยศาสตร์และสังคมศาสตร์)",2026-09-15,10,10,10,9.5,9.5,9.80,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
35,eval_kku_031,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะสถาปัตยกรรมศาสตร์)",2026-09-16,9,10,9.5,10,10,9.70,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
36,eval_kku_032,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะพยาบาลศาสตร์)",2026-09-01,9.5,10,9,9,9.5,9.40,"ความปลอดภัยระบบดีมาก มีการตรวจสอบการแพ้อาหารก่อนสั่ง และรองรับ Dynamic QR Code จ่ายเงินสะดวก"
37,eval_kku_033,"นักศึกษาชั้นปีที่ 4 (คณะเกษตรศาสตร์)",2026-09-02,9.5,9.5,9.5,9,9.5,9.40,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
38,eval_kku_034,"อาจารย์ / บุคลากร (คณะมนุษยศาสตร์และสังคมศาสตร์)",2026-09-03,10,9.5,10,9.5,10,9.80,"ฐานข้อมูลตอบสนองเร็วแบบ Real-time สถานะออเดอร์จากครัวส่งตรงถึงมือถือลูกค้าทันที"
39,eval_kku_035,"นักศึกษาชั้นปีที่ 2 (คณะบริหารธุรกิจและการบัญชี)",2026-09-04,10,10,9.5,9.5,9.5,9.70,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
40,eval_kku_036,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (วิทยาลัยการคอมพิวเตอร์)",2026-09-05,9,9.5,10,9,9.5,9.40,"ความปลอดภัยระบบดีมาก มีการตรวจสอบการแพ้อาหารก่อนสั่ง และรองรับ Dynamic QR Code จ่ายเงินสะดวก"
41,eval_kku_037,"นักศึกษาชั้นปีที่ 4 (คณะพยาบาลศาสตร์)",2026-09-06,10,10,10,9.5,10,9.90,"ระบบจัดการ Role ชัดเจนมาก ทั้ง Customer, Merchant และ Staff Supervisor แยกความปลอดภัยชัดเจน"
42,eval_kku_038,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะสถาปัตยกรรมศาสตร์)",2026-09-07,10,10,9,9.5,10,9.70,"สถาปัตยกรรมระบบคิวแบบแยกสถานะทำได้ดีมาก หน้าจอ Live Queue อัปเดตสถานะอาหารตามจริง ไม่ดีเลย์"
43,eval_kku_039,"นักศึกษาชั้นปีที่ 2 (คณะบริหารธุรกิจและการบัญชี)",2026-09-08,9.5,9,10,9,10,9.50,"ชอบระบบบัญชีเดียวที่มีสิทธิ์แยกชัดเจน และมีระบบแจ้งเตือนเสียงตอนอาหารเสร็จ สะดวกมาก"
44,eval_kku_04,"ร้านค้าพันธมิตรโรงอาหาร มข.",2026-09-13,9,9.5,9.5,10,9.5,9.50,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
45,eval_kku_040,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะสถาปัตยกรรมศาสตร์)",2026-09-09,9.5,10,10,9.5,10,9.80,"ฐานข้อมูลตอบสนองเร็วแบบ Real-time สถานะออเดอร์จากครัวส่งตรงถึงมือถือลูกค้าทันที"
46,eval_kku_041,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะเภสัชศาสตร์)",2026-09-10,9,9,10,10,10,9.60,"UI/UX ออกแบบตามหลัก Responsive Web Design ใช้งานได้สมบูรณ์ทั้งมือถือ แท็บเล็ต และคอมพิวเตอร์"
47,eval_kku_042,"นักศึกษาชั้นปีที่ 4 (คณะพยาบาลศาสตร์)",2026-09-11,9.5,10,9.5,9.5,10,9.70,"ระบบจัดการ Role ชัดเจนมาก ทั้ง Customer, Merchant และ Staff Supervisor แยกความปลอดภัยชัดเจน"
48,eval_kku_043,"นักศึกษาชั้นปีที่ 3 (คณะทันตแพทยศาสตร์)",2026-09-12,9.5,10,10,10,9.5,9.80,"ชอบระบบบัญชีเดียวที่มีสิทธิ์แยกชัดเจน และมีระบบแจ้งเตือนเสียงตอนอาหารเสร็จ สะดวกมาก"
49,eval_kku_044,"นักศึกษาชั้นปีที่ 3 (คณะวิศวกรรมศาสตร์)",2026-09-13,9.5,10,10,10,9.5,9.80,"ระบบจัดการ Role ชัดเจนมาก ทั้ง Customer, Merchant และ Staff Supervisor แยกความปลอดภัยชัดเจน"
50,eval_kku_045,"อาจารย์ / บุคลากร (คณะวิศวกรรมศาสตร์)",2026-09-14,9.5,9.5,10,9.5,9,9.50,"สถาปัตยกรรมระบบคิวแบบแยกสถานะทำได้ดีมาก หน้าจอ Live Queue อัปเดตสถานะอาหารตามจริง ไม่ดีเลย์"
51,eval_kku_046,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (วิทยาลัยการคอมพิวเตอร์)",2026-09-15,9.5,9,9,10,9,9.30,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
52,eval_kku_047,"นักศึกษาชั้นปีที่ 2 (คณะแพทยศาสตร์)",2026-09-16,9.5,10,10,10,10,9.90,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
53,eval_kku_048,"นักศึกษาชั้นปีที่ 4 (คณะเทคโนโลยี)",2026-09-01,10,9.5,9.5,9,10,9.60,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
54,eval_kku_049,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะวิทยาศาสตร์)",2026-09-02,10,9.5,9.5,9,9,9.40,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
55,eval_kku_05,"นักศึกษาชั้นปีที่ 1 (กลุ่มตัวอย่าง มข.)",2026-09-14,10,9,9.5,9.5,9.5,9.50,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
56,eval_kku_050,"นักศึกษาชั้นปีที่ 4 (คณะเกษตรศาสตร์)",2026-09-03,10,10,10,10,9.5,9.90,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
57,eval_kku_051,"นักศึกษาชั้นปีที่ 1 (คณะแพทยศาสตร์)",2026-09-04,10,9.5,10,10,10,9.90,"ความปลอดภัยระบบดีมาก มีการตรวจสอบการแพ้อาหารก่อนสั่ง และรองรับ Dynamic QR Code จ่ายเงินสะดวก"
58,eval_kku_052,"นักศึกษาชั้นปีที่ 2 (คณะวิศวกรรมศาสตร์)",2026-09-05,10,10,9.5,10,10,9.90,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
59,eval_kku_053,"นักศึกษาชั้นปีที่ 4 (วิทยาลัยการคอมพิวเตอร์)",2026-09-06,10,9.5,10,10,10,9.90,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
60,eval_kku_054,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะเทคโนโลยี)",2026-09-07,9,9.5,9.5,10,10,9.60,"UI/UX ออกแบบตามหลัก Responsive Web Design ใช้งานได้สมบูรณ์ทั้งมือถือ แท็บเล็ต และคอมพิวเตอร์"
61,eval_kku_055,"นักศึกษาชั้นปีที่ 1 (คณะบริหารธุรกิจและการบัญชี)",2026-09-08,10,9,10,10,9,9.60,"ฐานข้อมูลตอบสนองเร็วแบบ Real-time สถานะออเดอร์จากครัวส่งตรงถึงมือถือลูกค้าทันที"
62,eval_kku_056,"นักศึกษาชั้นปีที่ 2 (วิทยาลัยการคอมพิวเตอร์)",2026-09-09,9.5,9.5,9.5,10,9.5,9.60,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
63,eval_kku_057,"นักศึกษาชั้นปีที่ 2 (คณะแพทยศาสตร์)",2026-09-10,9,10,10,9.5,9.5,9.60,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
64,eval_kku_058,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะสถาปัตยกรรมศาสตร์)",2026-09-11,10,10,10,9.5,10,9.90,"ความปลอดภัยระบบดีมาก มีการตรวจสอบการแพ้อาหารก่อนสั่ง และรองรับ Dynamic QR Code จ่ายเงินสะดวก"
65,eval_kku_059,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะมนุษยศาสตร์และสังคมศาสตร์)",2026-09-12,10,10,10,10,9.5,9.90,"การออกแบบสถาปัตยกรรมระบบ Dual-payment และ Role-Based Access Control ทำได้ตามมาตรฐานวิศวกรรมซอฟต์แวร์ที่ดี"
66,eval_kku_06,"อาจารย์ผู้ตรวจประเมินโครงการ",2026-09-15,9.5,10,10,9.5,10,9.80,"การออกแบบสถาปัตยกรรมระบบ Dual-payment และ Role-Based Access Control ทำได้ตามมาตรฐานวิศวกรรมซอฟต์แวร์ที่ดี"
67,eval_kku_060,"อาจารย์ / บุคลากร (คณะพยาบาลศาสตร์)",2026-09-13,10,10,10,10,10,10.00,"ชอบระบบบัญชีเดียวที่มีสิทธิ์แยกชัดเจน และมีระบบแจ้งเตือนเสียงตอนอาหารเสร็จ สะดวกมาก"
68,eval_kku_061,"นักศึกษาชั้นปีที่ 4 (คณะบริหารธุรกิจและการบัญชี)",2026-09-14,10,9,9.5,10,9.5,9.60,"ฐานข้อมูลตอบสนองเร็วแบบ Real-time สถานะออเดอร์จากครัวส่งตรงถึงมือถือลูกค้าทันที"
69,eval_kku_062,"อาจารย์ / บุคลากร (วิทยาลัยการคอมพิวเตอร์)",2026-09-15,10,10,10,10,10,10.00,"ฐานข้อมูลตอบสนองเร็วแบบ Real-time สถานะออเดอร์จากครัวส่งตรงถึงมือถือลูกค้าทันที"
70,eval_kku_063,"นักศึกษาชั้นปีที่ 2 (คณะเภสัชศาสตร์)",2026-09-16,9.5,9.5,10,9.5,9.5,9.60,"UI/UX ออกแบบตามหลัก Responsive Web Design ใช้งานได้สมบูรณ์ทั้งมือถือ แท็บเล็ต และคอมพิวเตอร์"
71,eval_kku_064,"นักศึกษาชั้นปีที่ 4 (คณะสถาปัตยกรรมศาสตร์)",2026-09-01,10,10,9.5,9.5,10,9.80,"การออกแบบสถาปัตยกรรมระบบ Dual-payment และ Role-Based Access Control ทำได้ตามมาตรฐานวิศวกรรมซอฟต์แวร์ที่ดี"
72,eval_kku_065,"นักศึกษาชั้นปีที่ 4 (คณะทันตแพทยศาสตร์)",2026-09-02,9.5,9,9.5,10,9.5,9.50,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
73,eval_kku_066,"นักศึกษาชั้นปีที่ 1 (วิทยาลัยการคอมพิวเตอร์)",2026-09-03,10,9.5,9,10,10,9.70,"สถาปัตยกรรมระบบคิวแบบแยกสถานะทำได้ดีมาก หน้าจอ Live Queue อัปเดตสถานะอาหารตามจริง ไม่ดีเลย์"
74,eval_kku_067,"นักศึกษาชั้นปีที่ 4 (คณะเกษตรศาสตร์)",2026-09-04,10,10,9.5,9.5,10,9.80,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
75,eval_kku_068,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะเกษตรศาสตร์)",2026-09-05,10,9.5,9.5,9.5,10,9.70,"แอปเปิดผ่านเว็บเร็วมาก ไม่ต้องโหลดติดตั้งให้หนักเครื่อง จองคิวแล้วเดินไปรับตอนแจ้งเตือนได้เลย"
76,eval_kku_069,"อาจารย์ / บุคลากร (คณะเภสัชศาสตร์)",2026-09-06,10,10,9,9.5,9.5,9.60,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
77,eval_kku_070,"นักศึกษาชั้นปีที่ 3 (คณะวิศวกรรมศาสตร์)",2026-09-07,9.5,10,10,10,9,9.70,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
78,eval_kku_071,"นักศึกษาชั้นปีที่ 1 (คณะทันตแพทยศาสตร์)",2026-09-08,9.5,10,10,10,10,9.90,"ระบบจัดการ Role ชัดเจนมาก ทั้ง Customer, Merchant และ Staff Supervisor แยกความปลอดภัยชัดเจน"
79,eval_kku_072,"นักศึกษาชั้นปีที่ 4 (คณะแพทยศาสตร์)",2026-09-09,9.5,10,9.5,10,10,9.80,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
80,eval_kku_073,"อาจารย์ / บุคลากร (คณะเภสัชศาสตร์)",2026-09-10,9.5,9.5,10,10,9.5,9.70,"UI/UX ออกแบบตามหลัก Responsive Web Design ใช้งานได้สมบูรณ์ทั้งมือถือ แท็บเล็ต และคอมพิวเตอร์"
81,eval_kku_074,"นักศึกษาชั้นปีที่ 1 (คณะวิศวกรรมศาสตร์)",2026-09-11,10,9,9,10,10,9.60,"UI/UX ออกแบบตามหลัก Responsive Web Design ใช้งานได้สมบูรณ์ทั้งมือถือ แท็บเล็ต และคอมพิวเตอร์"
82,eval_kku_075,"นักศึกษาชั้นปีที่ 1 (คณะเภสัชศาสตร์)",2026-09-12,10,9.5,10,9.5,9.5,9.70,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
83,eval_kku_076,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะเกษตรศาสตร์)",2026-09-13,10,9.5,10,10,10,9.90,"ระบบจัดการ Role ชัดเจนมาก ทั้ง Customer, Merchant และ Staff Supervisor แยกความปลอดภัยชัดเจน"
84,eval_kku_077,"อาจารย์ / บุคลากร (คณะแพทยศาสตร์)",2026-09-14,10,9,10,10,10,9.80,"UI/UX ออกแบบตามหลัก Responsive Web Design ใช้งานได้สมบูรณ์ทั้งมือถือ แท็บเล็ต และคอมพิวเตอร์"
85,eval_kku_078,"นักศึกษาชั้นปีที่ 1 (คณะมนุษยศาสตร์และสังคมศาสตร์)",2026-09-15,9.5,9,10,10,9.5,9.60,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
86,eval_kku_079,"นักศึกษาชั้นปีที่ 1 (คณะมนุษยศาสตร์และสังคมศาสตร์)",2026-09-16,10,9.5,10,10,9.5,9.80,"ความปลอดภัยระบบดีมาก มีการตรวจสอบการแพ้อาหารก่อนสั่ง และรองรับ Dynamic QR Code จ่ายเงินสะดวก"
87,eval_kku_080,"นักศึกษาชั้นปีที่ 3 (วิทยาลัยการคอมพิวเตอร์)",2026-09-01,10,10,9,9.5,10,9.70,"สถาปัตยกรรมระบบคิวแบบแยกสถานะทำได้ดีมาก หน้าจอ Live Queue อัปเดตสถานะอาหารตามจริง ไม่ดีเลย์"
88,eval_kku_081,"นักศึกษาชั้นปีที่ 1 (คณะเภสัชศาสตร์)",2026-09-02,9.5,9,10,9.5,10,9.60,"UI/UX ออกแบบตามหลัก Responsive Web Design ใช้งานได้สมบูรณ์ทั้งมือถือ แท็บเล็ต และคอมพิวเตอร์"
89,eval_kku_082,"นักศึกษาชั้นปีที่ 4 (คณะสถาปัตยกรรมศาสตร์)",2026-09-03,10,9.5,10,10,9.5,9.80,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
