ลำดับ,รหัสแบบประเมิน,ชั้นปี / กลุ่มตัวอย่าง,คณะ / สังกัด,วันที่ประเมิน,ข้อ 1 (ความง่ายในการใช้งาน),ข้อ 2 (ระบบสมาชิก),ข้อ 3 (การค้นหา),ข้อ 4 (ข้อมูลเมนู),ข้อ 5 (ระบบคิวล่วงหน้า),ข้อ 6 (ความถูกต้องของคิว),ข้อ 7 (การแจ้งเตือน),ข้อ 8 (ความรวดเร็ว),ข้อ 9 (ความเสถียร),ข้อ 10 (ความปลอดภัย & PDPA),ข้อ 11 (ระบบชำระเงิน),ข้อ 12 (ประโยชน์การใช้งาน),ข้อ 13 (ความพึงพอใจโดยรวม),ข้อ 14 (ความตั้งใจใช้งานต่อ),ข้อ 15 (การบอกต่อแนะนำ),คะแนนเฉลี่ย (เต็ม 5.00),ร้อยละความพึงพอใจ (%),ระดับความพึงพอใจ,ข้อเสนอแนะเพิ่มเติม
11,survey_kku_010,"อาจารย์ / บุคลากร","คณะแพทยศาสตร์",2026-09-11,5,5,4,4,3,5,4,5,5,4,5,5,4,3,5,4.40,88.0,"มาก","สเตตัสคิวเรียลไทม์ตรงกับที่จอครัวร้านค้าทำอาหารเลยครับ ทดสอบแล้วลื่นไหลดีมาก"
12,survey_kku_011,"นักศึกษาชั้นปีที่ 4","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-12,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5,4.73,94.7,"มากที่สุด","โดยรวมถือว่าตอบโจทย์ชีวิตเด็กหอแถวกังสดาลมากครับ ถ้าเชื่อมกับร้านค้ารอบรั้ว มข. ได้หมดจะดีมากเลย"
13,survey_kku_012,"นักศึกษาชั้นปีที่ 1","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมคอมพิวเตอร์",2026-09-13,5,4,3,5,5,5,5,5,5,3,4,5,5,5,4,4.53,90.7,"มากที่สุด","ระบบออกบัตรคิวไวดีครับ อยากให้เพิ่มเมนูร้านน้ำและเครื่องดื่มในโรงอาหารเพิ่มอีกหลายๆ ร้านครับ"
14,survey_kku_013,"นักศึกษาชั้นปีที่ 1","คณะบริหารธุรกิจและการบัญชี (KKBS)",2026-09-14,5,5,5,5,4,4,4,5,5,5,4,5,5,4,4,4.60,92.0,"มากที่สุด","โดยรวมถือว่าตอบโจทย์ชีวิตเด็กหอแถวกังสดาลมากครับ ถ้าเชื่อมกับร้านค้ารอบรั้ว มข. ได้หมดจะดีมากเลย"
15,survey_kku_014,"นักศึกษาชั้นปีที่ 2","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมคอมพิวเตอร์",2026-09-15,5,5,5,5,3,5,5,5,4,5,5,5,4,5,4,4.67,93.3,"มากที่สุด","ระบบออกบัตรคิวไวดีครับ อยากให้เพิ่มเมนูร้านน้ำและเครื่องดื่มในโรงอาหารเพิ่มอีกหลายๆ ร้านครับ"
16,survey_kku_015,"นักศึกษาชั้นปีที่ 4","วิทยาลัยการคอมพิวเตอร์ สาขาวิทยาการคอมพิวเตอร์",2026-09-16,4,5,5,4,4,5,5,5,5,5,5,5,5,4,5,4.73,94.7,"มากที่สุด","ชอบระบบจองคิวล่วงหน้ามากครับ ช่วงพักเที่ยงโรงอาหารคอมแออัดมาก พอใช้ QueueUp ช่วยให้กะเวลาไปรับข้าวได้เป๊ะ ไม่ต้องไปยืนรอนาน"
17,survey_kku_016,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","คณะศึกษาศาสตร์",2026-09-01,5,4,5,5,4,5,5,4,4,5,5,5,5,5,4,4.67,93.3,"มากที่สุด","UI สวยทันสมัยมาก ฟังก์ชันค้นหาแบบภาษาพูด 'อยากกินเผ็ดๆ' เจ๋งมาก เข้ากับพฤติกรรมเวลาคิดไม่ออกว่าจะกินอะไรดี"
18,survey_kku_017,"นักศึกษาชั้นปีที่ 3","คณะเทคโนโลยี",2026-09-02,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4.73,94.7,"มากที่สุด","ชอบตรงที่ไม่ต้องดาวน์โหลดแอปให้เปลืองพื้นที่มือถือ ล็อกอินผ่าน Google ครั้งเดียวจบ"
19,survey_kku_018,"นักศึกษาชั้นปีที่ 2","คณะบริหารธุรกิจและการบัญชี (KKBS)",2026-09-03,4,4,5,5,5,5,5,3,5,4,5,5,3,5,5,4.53,90.7,"มากที่สุด","หน้าจอคิวบอกเวลาโดยประมาณได้ใกล้เคียงความจริงมาก ช่วยวางแผนเวลาพักเที่ยงได้ดีเยี่ยม"
20,survey_kku_019,"นักศึกษาชั้นปีที่ 1","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-04,5,5,4,3,5,5,4,5,5,4,5,5,5,5,5,4.67,93.3,"มากที่สุด","ช่วยประหยัดเวลาช่วงเที่ยงได้จริงค่ะ ปกติรอคิวเกือบ 20 นาที พอสั่งผ่านแอปได้กินภายใน 2-3 นาทีเลย"
21,survey_kku_02,"นักศึกษาชั้นปีที่ 3","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-02,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4.93,98.7,"มากที่สุด","ระบบแจ้งเตือนเมื่อคิวใกล้ถึงเวลาทำงานได้ดีมาก UI สวย ทันสมัย และเข้าสู่ระบบด้วย Google เร็วมาก"
22,survey_kku_020,"นักศึกษาชั้นปีที่ 3","วิทยาลัยการคอมพิวเตอร์ สาขาวิทยาการคอมพิวเตอร์",2026-09-05,5,5,5,4,5,4,5,5,4,5,5,5,3,5,5,4.67,93.3,"มากที่สุด","ช่วยประหยัดเวลาช่วงเที่ยงได้จริงค่ะ ปกติรอคิวเกือบ 20 นาที พอสั่งผ่านแอปได้กินภายใน 2-3 นาทีเลย"
23,survey_kku_021,"นักศึกษาชั้นปีที่ 1","วิทยาลัยการคอมพิวเตอร์ สาขาเทคโนโลยีสารสนเทศ",2026-09-06,5,4,5,5,3,5,5,4,5,4,5,4,5,4,5,4.53,90.7,"มากที่สุด","ชอบตรงที่ไม่ต้องดาวน์โหลดแอปให้เปลืองพื้นที่มือถือ ล็อกอินผ่าน Google ครั้งเดียวจบ"
24,survey_kku_022,"อาจารย์ / บุคลากร","คณะทันตแพทยศาสตร์",2026-09-07,4,3,5,5,5,4,4,5,5,5,5,3,4,4,4,4.33,86.7,"มาก","โดยรวมถือว่าตอบโจทย์ชีวิตเด็กหอแถวกังสดาลมากครับ ถ้าเชื่อมกับร้านค้ารอบรั้ว มข. ได้หมดจะดีมากเลย"
25,survey_kku_023,"นักศึกษาชั้นปีที่ 2","คณะเกษตรศาสตร์",2026-09-08,4,5,5,4,4,5,4,5,5,5,3,4,4,5,5,4.47,89.3,"มาก","อยากให้เปิดใช้กับทุกโรงอาหารในมหาวิทยาลัยขอนแก่น ทั้งศูนย์อาหารคอมและศูนย์อาหารกังสดาลครับ"
26,survey_kku_024,"นักศึกษาชั้นปีที่ 1","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-09,4,4,5,5,5,5,5,5,5,4,4,5,4,5,4,4.60,92.0,"มากที่สุด","ระบบออกบัตรคิวไวดีครับ อยากให้เพิ่มเมนูร้านน้ำและเครื่องดื่มในโรงอาหารเพิ่มอีกหลายๆ ร้านครับ"
27,survey_kku_025,"นักศึกษาชั้นปีที่ 4","คณะทันตแพทยศาสตร์",2026-09-10,5,5,4,5,5,5,4,4,5,4,5,5,5,5,4,4.67,93.3,"มากที่สุด","อยากให้เปิดใช้กับทุกโรงอาหารในมหาวิทยาลัยขอนแก่น ทั้งศูนย์อาหารคอมและศูนย์อาหารกังสดาลครับ"
28,survey_kku_026,"นักศึกษาชั้นปีที่ 1","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-11,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4.80,96.0,"มากที่สุด","โดยรวมถือว่าตอบโจทย์ชีวิตเด็กหอแถวกังสดาลมากครับ ถ้าเชื่อมกับร้านค้ารอบรั้ว มข. ได้หมดจะดีมากเลย"
29,survey_kku_027,"นักศึกษาชั้นปีที่ 2","คณะพยาบาลศาสตร์",2026-09-12,5,4,4,5,5,5,4,4,3,5,5,5,5,4,5,4.53,90.7,"มากที่สุด","ช่วงพักเที่ยงไม่ต้องรีบวิ่งมาจองโต๊ะจองคิวแล้ว กดสั่งล่วงหน้าตั้งแต่ตอนกำลังเดินมาถึง สบายมากครับ"
30,survey_kku_028,"นักศึกษาชั้นปีที่ 1","คณะเกษตรศาสตร์",2026-09-13,5,4,5,4,5,5,5,5,5,4,5,4,5,5,5,4.73,94.7,"มากที่สุด","ฟังก์ชันตั๋วคิวบัตรดิจิทัลดูเป็นมืออาชีพ มีเลขคิวและชื่อร้านชัดเจน"
31,survey_kku_029,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมคอมพิวเตอร์",2026-09-14,5,5,5,5,5,4,5,5,5,3,4,5,5,5,4,4.67,93.3,"มากที่สุด","UI สวยทันสมัยมาก ฟังก์ชันค้นหาแบบภาษาพูด 'อยากกินเผ็ดๆ' เจ๋งมาก เข้ากับพฤติกรรมเวลาคิดไม่ออกว่าจะกินอะไรดี"
32,survey_kku_03,"นักศึกษาชั้นปีที่ 1","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-03,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4.87,97.3,"มากที่สุด","เด็กปี 1 ยังไม่ค่อยคุ้นร้านอาหารในมหาลัย เมนูมีรูปชัดเจนพร้อมแท็กบอกทำให้เลือกร้านสั่งอาหารได้สะดวกมากครับ"
33,survey_kku_030,"นักศึกษาชั้นปีที่ 1","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-15,3,4,4,5,5,5,5,5,4,5,5,5,4,5,5,4.60,92.0,"มากที่สุด","ระบบไม่ค้าง โหลดหน้าเว็บเร็ว ใช้งานผ่าน Safari บน iPad และ Chrome บนมือถือได้เสถียรมาก"
34,survey_kku_031,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","คณะศึกษาศาสตร์",2026-09-16,5,5,5,5,4,5,5,3,5,5,3,4,5,5,5,4.60,92.0,"มากที่สุด","ช่วงพักเที่ยงไม่ต้องรีบวิ่งมาจองโต๊ะจองคิวแล้ว กดสั่งล่วงหน้าตั้งแต่ตอนกำลังเดินมาถึง สบายมากครับ"
35,survey_kku_032,"นักศึกษาชั้นปีที่ 2","คณะพยาบาลศาสตร์",2026-09-01,5,4,5,5,5,5,5,4,5,4,5,5,4,5,5,4.73,94.7,"มากที่สุด","ลดการสัมผัสเงินสดและการยืนออหน้าเคาน์เตอร์ได้อย่างมีประสิทธิภาพ สอดคล้องกับโรงอาหารยุคใหม่"
36,survey_kku_033,"นักศึกษาชั้นปีที่ 3","คณะวิทยาศาสตร์ สาขาสถิติและการวิเคราะห์ข้อมูล",2026-09-02,5,5,4,5,4,4,5,5,5,5,5,5,4,5,5,4.73,94.7,"มากที่สุด","ฟีเจอร์ตัวกรองการแพ้อาหารดีมาก มีประโยชน์ต่อคนที่มีประวัติแพ้อาหารทะเลหรือถั่วมากค่ะ"
37,survey_kku_034,"นักศึกษาชั้นปีที่ 1","คณะเทคโนโลยี",2026-09-03,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4.93,98.7,"มากที่สุด","ฟีเจอร์ตัวกรองการแพ้อาหารดีมาก มีประโยชน์ต่อคนที่มีประวัติแพ้อาหารทะเลหรือถั่วมากค่ะ"
38,survey_kku_035,"นักศึกษาชั้นปีที่ 3","คณะแพทยศาสตร์",2026-09-04,5,5,4,4,5,4,5,4,4,5,5,4,5,5,5,4.60,92.0,"มากที่สุด","UI สวยทันสมัยมาก ฟังก์ชันค้นหาแบบภาษาพูด 'อยากกินเผ็ดๆ' เจ๋งมาก เข้ากับพฤติกรรมเวลาคิดไม่ออกว่าจะกินอะไรดี"
39,survey_kku_036,"นักศึกษาชั้นปีที่ 4","คณะวิทยาศาสตร์ สาขาสถิติและการวิเคราะห์ข้อมูล",2026-09-05,4,4,5,5,5,5,5,4,5,5,4,4,5,5,5,4.67,93.3,"มากที่สุด","เมนูอาหารมีรูปประกอบและราคาชัดเจน สั่งอาหารง่ายกว่าเดิมเยอะมาก"
40,survey_kku_037,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","คณะวิทยาศาสตร์ สาขาสถิติและการวิเคราะห์ข้อมูล",2026-09-06,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,4.80,96.0,"มากที่สุด","ใช้ง่ายมากค่ะ ล็อกอินสะดวกรวดเร็ว ระบบแจ้งเตือนเสียง Chime ตอนอาหารพร้อมรับทำให้ไม่ต้องคอยเปิดจอมือถือดูตลอดเวลา"
41,survey_kku_038,"อาจารย์ / บุคลากร","คณะเภสัชศาสตร์",2026-09-07,4,5,4,4,4,5,5,4,5,5,5,5,5,4,5,4.60,92.0,"มากที่สุด","ชอบตรงที่ไม่ต้องดาวน์โหลดแอปให้เปลืองพื้นที่มือถือ ล็อกอินผ่าน Google ครั้งเดียวจบ"
42,survey_kku_039,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","คณะมนุษยศาสตร์และสังคมศาสตร์",2026-09-08,5,4,4,3,5,5,5,5,4,4,4,5,5,3,4,4.33,86.7,"มาก","ความปลอดภัยของข้อมูลดี มีการแจ้ง PDPA ชัดเจน ชอบที่ปรับโปรไฟล์ตัวเองได้ง่ายและมีระบบแจ้งเตือนภูมิแพ้"
43,survey_kku_04,"นักศึกษาชั้นปีที่ 4","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-03,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4.80,96.0,"มากที่สุด","เหมาะกับชั่วโมงเร่งด่วนช่วงเปลี่ยนคาบเรียนมาก ลดการยืนออหน้าร้านได้จริง อยากให้ขยายไปใช้ทุกโรงอาหารใน มข."
44,survey_kku_040,"นักศึกษาชั้นปีที่ 1","คณะบริหารธุรกิจและการบัญชี (KKBS)",2026-09-09,5,3,5,4,5,5,5,5,4,4,4,5,5,5,5,4.60,92.0,"มากที่สุด","ฟีเจอร์ตัวกรองการแพ้อาหารดีมาก มีประโยชน์ต่อคนที่มีประวัติแพ้อาหารทะเลหรือถั่วมากค่ะ"
45,survey_kku_041,"นักศึกษาชั้นปีที่ 3","คณะทันตแพทยศาสตร์",2026-09-10,5,4,5,5,5,5,5,4,4,3,5,3,5,5,4,4.47,89.3,"มาก","ฟังก์ชันตั๋วคิวบัตรดิจิทัลดูเป็นมืออาชีพ มีเลขคิวและชื่อร้านชัดเจน"
46,survey_kku_042,"นักศึกษาชั้นปีที่ 1","คณะศึกษาศาสตร์",2026-09-11,5,4,5,5,5,5,3,5,5,5,3,4,5,3,5,4.47,89.3,"มาก","หน้าจอคิวบอกเวลาโดยประมาณได้ใกล้เคียงความจริงมาก ช่วยวางแผนเวลาพักเที่ยงได้ดีเยี่ยม"
47,survey_kku_043,"นักศึกษาชั้นปีที่ 1","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมคอมพิวเตอร์",2026-09-12,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,4.73,94.7,"มากที่สุด","ความปลอดภัยของข้อมูลดี มีการแจ้ง PDPA ชัดเจน ชอบที่ปรับโปรไฟล์ตัวเองได้ง่ายและมีระบบแจ้งเตือนภูมิแพ้"
48,survey_kku_044,"นักศึกษาชั้นปีที่ 1","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-13,5,5,5,5,5,4,3,4,5,4,5,5,4,5,5,4.60,92.0,"มากที่สุด","UI สวยทันสมัยมาก ฟังก์ชันค้นหาแบบภาษาพูด 'อยากกินเผ็ดๆ' เจ๋งมาก เข้ากับพฤติกรรมเวลาคิดไม่ออกว่าจะกินอะไรดี"
49,survey_kku_045,"อาจารย์ / บุคลากร","คณะแพทยศาสตร์",2026-09-14,5,5,4,3,5,5,5,5,5,5,4,5,4,5,5,4.67,93.3,"มากที่สุด","ระบบแจ้งเตือนแม่นยำมาก ไม่ต้องคอยเดินไปถามหน้าร้านว่าอาหารได้หรือยัง สะดวกสบายสุดๆ"
50,survey_kku_046,"นักศึกษาชั้นปีที่ 2","คณะมนุษยศาสตร์และสังคมศาสตร์",2026-09-15,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,4.80,96.0,"มากที่สุด","ใช้ง่ายมากค่ะ ล็อกอินสะดวกรวดเร็ว ระบบแจ้งเตือนเสียง Chime ตอนอาหารพร้อมรับทำให้ไม่ต้องคอยเปิดจอมือถือดูตลอดเวลา"
51,survey_kku_047,"นักศึกษาชั้นปีที่ 1","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-16,4,4,5,5,4,5,5,5,5,3,5,4,5,5,4,4.53,90.7,"มากที่สุด","หน้าจอคิวบอกเวลาโดยประมาณได้ใกล้เคียงความจริงมาก ช่วยวางแผนเวลาพักเที่ยงได้ดีเยี่ยม"
52,survey_kku_048,"นักศึกษาชั้นปีที่ 3","คณะเภสัชศาสตร์",2026-09-01,4,5,5,5,5,5,4,3,5,5,5,5,5,5,5,4.73,94.7,"มากที่สุด","ชอบตรงที่ไม่ต้องดาวน์โหลดแอปให้เปลืองพื้นที่มือถือ ล็อกอินผ่าน Google ครั้งเดียวจบ"
53,survey_kku_049,"นักศึกษาชั้นปีที่ 2","คณะบริหารธุรกิจและการบัญชี (KKBS)",2026-09-02,5,5,4,5,5,5,5,4,5,5,5,5,4,5,3,4.67,93.3,"มากที่สุด","ใช้ง่ายมากค่ะ ล็อกอินสะดวกรวดเร็ว ระบบแจ้งเตือนเสียง Chime ตอนอาหารพร้อมรับทำให้ไม่ต้องคอยเปิดจอมือถือดูตลอดเวลา"
54,survey_kku_05,"นักศึกษาชั้นปีที่ 2","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-04,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,100.0,"มากที่สุด","ระบบคำนวณเวลารอคิวแม่นยำดีมากครับ ไม่ต้องเสียเวลารอข้าว เอาเวลาไปทบทวนบทเรียนได้เยอะขึ้น"
55,survey_kku_050,"นักศึกษาชั้นปีที่ 4","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-03,4,5,5,5,5,5,3,5,4,5,4,4,5,5,5,4.60,92.0,"มากที่สุด","ช่วงพักเที่ยงไม่ต้องรีบวิ่งมาจองโต๊ะจองคิวแล้ว กดสั่งล่วงหน้าตั้งแต่ตอนกำลังเดินมาถึง สบายมากครับ"
56,survey_kku_051,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","วิทยาลัยการคอมพิวเตอร์ สาขาวิทยาการคอมพิวเตอร์",2026-09-04,4,5,5,4,5,5,4,3,4,4,4,4,4,4,5,4.27,85.3,"มาก","แอปพลิเคชันสมบูรณ์แบบมากครับ จะแนะนำให้เพื่อนในสาขาและอาจารย์ดาวน์โหลดใช้งานแน่นอนครับ"
57,survey_kku_052,"นักศึกษาชั้นปีที่ 4","วิทยาลัยการคอมพิวเตอร์ สาขาเทคโนโลยีสารสนเทศ",2026-09-05,5,5,4,4,5,4,5,5,3,5,5,4,5,4,5,4.53,90.7,"มากที่สุด","ระบบแจ้งเตือนแม่นยำมาก ไม่ต้องคอยเดินไปถามหน้าร้านว่าอาหารได้หรือยัง สะดวกสบายสุดๆ"
58,survey_kku_053,"นักศึกษาชั้นปีที่ 1","คณะศึกษาศาสตร์",2026-09-06,5,4,4,4,5,5,4,5,5,4,5,5,4,4,4,4.47,89.3,"มาก","ระบบออกบัตรคิวไวดีครับ อยากให้เพิ่มเมนูร้านน้ำและเครื่องดื่มในโรงอาหารเพิ่มอีกหลายๆ ร้านครับ"
59,survey_kku_054,"นักศึกษาชั้นปีที่ 2","วิทยาลัยการคอมพิวเตอร์ สาขาเทคโนโลยีสารสนเทศ",2026-09-07,3,5,4,5,5,5,5,4,4,4,5,5,4,5,3,4.40,88.0,"มาก","ฟีเจอร์ตัวกรองการแพ้อาหารดีมาก มีประโยชน์ต่อคนที่มีประวัติแพ้อาหารทะเลหรือถั่วมากค่ะ"
60,survey_kku_055,"อาจารย์ / บุคลากร","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-08,4,4,3,5,5,5,5,5,5,5,5,5,4,5,4,4.60,92.0,"มากที่สุด","ระบบแจ้งเตือนแม่นยำมาก ไม่ต้องคอยเดินไปถามหน้าร้านว่าอาหารได้หรือยัง สะดวกสบายสุดๆ"
61,survey_kku_056,"นักศึกษาชั้นปีที่ 4","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-09,3,5,4,4,5,4,5,5,4,5,5,4,5,5,3,4.40,88.0,"มาก","สเตตัสคิวเรียลไทม์ตรงกับที่จอครัวร้านค้าทำอาหารเลยครับ ทดสอบแล้วลื่นไหลดีมาก"
62,survey_kku_057,"นักศึกษาชั้นปีที่ 2","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,100.0,"มากที่สุด","หน้าจอคิวบอกเวลาโดยประมาณได้ใกล้เคียงความจริงมาก ช่วยวางแผนเวลาพักเที่ยงได้ดีเยี่ยม"
63,survey_kku_058,"นักศึกษาชั้นปีที่ 4","คณะมนุษยศาสตร์และสังคมศาสตร์",2026-09-11,4,4,5,5,4,5,4,5,4,5,5,5,4,5,5,4.60,92.0,"มากที่สุด","ระบบออกบัตรคิวไวดีครับ อยากให้เพิ่มเมนูร้านน้ำและเครื่องดื่มในโรงอาหารเพิ่มอีกหลายๆ ร้านครับ"
64,survey_kku_059,"นักศึกษาชั้นปีที่ 2","คณะศึกษาศาสตร์",2026-09-12,5,5,5,4,5,5,4,5,4,3,4,4,4,4,5,4.40,88.0,"มาก","ช่วงพักเที่ยงไม่ต้องรีบวิ่งมาจองโต๊ะจองคิวแล้ว กดสั่งล่วงหน้าตั้งแต่ตอนกำลังเดินมาถึง สบายมากครับ"
65,survey_kku_06,"นักศึกษาชั้นปีที่ 3","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-04,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4.87,97.3,"มากที่สุด","ใช้งานบนแท็บเล็ตและมือถือลื่นไหลดีมาก ปุ่มกดชัดเจน ตัวหนังสืออ่านง่าย"
66,survey_kku_060,"นักศึกษาชั้นปีที่ 2","คณะพยาบาลศาสตร์",2026-09-13,5,3,5,5,5,5,5,5,5,5,4,5,5,4,5,4.73,94.7,"มากที่สุด","UI สวยทันสมัยมาก ฟังก์ชันค้นหาแบบภาษาพูด 'อยากกินเผ็ดๆ' เจ๋งมาก เข้ากับพฤติกรรมเวลาคิดไม่ออกว่าจะกินอะไรดี"
